"Name","DeclLine","Helpers","PublisherCount","Publishers","SubscriberCount","Subscribers","Status"
"OnRequestActivateRSBuff","31","FireRequestActivateRSBuff","1","Assets/_Project/Scripts/Gameplay/CraftingSystem.cs:226","0","","BROKEN"
"OnRequestPurgeCorruption","30","FireRequestPurgeCorruption","1","Assets/_Project/Scripts/Gameplay/CraftingSystem.cs:211","2","Assets/_Project/Scripts/Integration/CorruptionSystem.cs:69; Assets/_Project/Scripts/Integration/CorruptionSystem.cs:74","HEALTHY"
"OnResonanceScoreChanged","322","","1","Assets/_Project/Scripts/Core/AetherFieldManager.cs:51","2","Assets/_Project/Scripts/UI/HUDLiveDataWiring.cs:25; Assets/_Project/Scripts/UI/HUDLiveDataWiring.cs:37","HEALTHY"
"OnRSChanged","321","FireRSChange","12","Assets/_Project/Scripts/AI/ResetScout.cs:136; Assets/_Project/Scripts/Integration/Moon1MudPoolPuzzle.cs:222; Assets/_Project/Scripts/Integration/Moon1MudPoolPuzzle.cs:328; Assets/_Project/Scripts/Integration/EchohavenContentSpawner.cs:2941; Assets/_Project/Scripts/Integration/Moon1NarrativeBeats.cs:44; Assets/_Project/Scripts/Integration/Moon1NarrativeBeats.cs:76; Assets/_Project/Scripts/AI/MudGolemAI.cs:597; Assets/_Project/Scripts/Integration/PointOfInterest.cs:113; Assets/_Project/Scripts/AI/MudGolemLootDrop.cs:78; Assets/_Project/Scripts/Gameplay/DissonanceCrystal.cs:46; Assets/_Project/Scripts/Integration/Phase2Stubs.cs:229; Assets/_Project/Scripts/Integration/Phase2Stubs.cs:236","10","Assets/_Project/Scripts/Integration/TartariaPostProcessing.cs:52; Assets/_Project/Scripts/Integration/TartariaPostProcessing.cs:57; Assets/_Project/Scripts/Integration/RunProgressTracker.cs:53; Assets/_Project/Scripts/Integration/RunProgressTracker.cs:59; Assets/_Project/Scripts/Integration/ArchiveManager.cs:69; Assets/_Project/Scripts/Integration/ArchiveManager.cs:83; Assets/_Project/Scripts/Integration/EchohavenContentSpawner.cs:1945; Assets/_Project/Scripts/Integration/EchohavenContentSpawner.cs:2255; Assets/_Project/Scripts/Integration/Moon1ProgressPersistence.cs:44; Assets/_Project/Scripts/Integration/Moon1ProgressPersistence.cs:50","HEALTHY"
"OnSeventeenthHour","446","FireSeventeenthHour","1","Assets/_Project/Scripts/Integration/TartarianHourCycle.cs:90","4","Assets/_Project/Scripts/Integration/Moon1NarrativeBeats.cs:24; Assets/_Project/Scripts/Integration/Moon1NarrativeBeats.cs:25; Assets/_Project/Scripts/Integration/Moon1CinematicMoments.cs:33; Assets/_Project/Scripts/Integration/Moon1CinematicMoments.cs:39","HEALTHY"
"OnTartarianHourChanged","450","FireTartarianHourChanged","0","","0","","UNUSED"
"OnToggleAetherVision","28","FireToggleAetherVision,RaiseAetherVisionToggled","1","Assets/_Project/Scripts/Gameplay/PlayerAbilityController.cs:162","10","Assets/_Project/Scripts/UI/UIManager.cs:78; Assets/_Project/Scripts/UI/UIManager.cs:90; Assets/_Project/Scripts/Integration/Moon1FirstTimeHints.cs:65; Assets/_Project/Scripts/Integration/Moon1FirstTimeHints.cs:70; Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:100; Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:237; Assets/_Project/Scripts/Integration/LeyLineVisualizer.cs:64; Assets/_Project/Scripts/Integration/LeyLineVisualizer.cs:69; Assets/_Project/Scripts/UI/HUDController.cs:139; Assets/_Project/Scripts/UI/HUDController.cs:175","HEALTHY"
"OnTogglePause","29","FireTogglePause","1","Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:914","6","Assets/_Project/Scripts/UI/UIManager.cs:79; Assets/_Project/Scripts/UI/UIManager.cs:91; Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:99; Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:236; Assets/_Project/Scripts/UI/HUDController.cs:138; Assets/_Project/Scripts/UI/HUDController.cs:174","HEALTHY"
"OnTuningNodeActivated","438","","1","Assets/_Project/Scripts/Integration/Phase2Stubs.cs:126","0","","BROKEN"
"OnTuningProgress","454","FireTuningProgress","0","","2","Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:432; Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:443","BROKEN"
"OnWeatherHazardEnded","349","FireWeatherHazardEnded","1","Assets/_Project/Scripts/Gameplay/WeatherHazardSystem.cs:151","0","","BROKEN"
"OnWeatherHazardStarted","348","FireWeatherHazardStarted","1","Assets/_Project/Scripts/Gameplay/WeatherHazardSystem.cs:130","0","","BROKEN"
"OnXPGained","112","RaiseXPGained","2","Assets/_Project/Scripts/Gameplay/PlayerProgression.cs:259; Assets/_Project/Scripts/Gameplay/PlayerProgression.cs:260","2","Assets/_Project/Scripts/Core/EconomyBalanceMonitor.cs:126; Assets/_Project/Scripts/Core/EconomyBalanceMonitor.cs:148","HEALTHY"
